Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
31,1897-06-26,8,Melbourne,3,2,20,Sydney,11,7,73,M.C.G.,-53,1897,Regular,8,1897.8,FALSE,NA,NA,NA,5,1,FALSE,TRUE,1,0,1512.7088864205223,1498.5652211196048,1507.854801308765,1503.419306231362,0.7212607892655547,24
32,1897-06-26,8,Carlton,1,3,9,Fitzroy,5,17,47,Princes Park,-38,1897,Regular,8,1897.8,FALSE,NA,NA,NA,2,1,FALSE,FALSE,1,0,1487.7929122332303,1493.4159367781745,1484.5273529676554,1496.6814960437493,0.48522425937221336,-1
33,1897-07-03,9,Carlton,4,4,28,Sydney,11,8,74,Princes Park,-46,1897,Regular,9,1897.9,FALSE,NA,NA,NA,3,1,FALSE,TRUE,1,0,1484.5273529676554,1503.419306231362,1481.9752496292176,1505.9714095697998,0.3792129774795945,-12
34,1897-07-03,9,Collingwood,5,7,37,Essendon,6,10,46,Victoria Park,-9,1897,Regular,9,1897.9,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1510.2616513599662,1510.9896347763524,1506.3915701293586,1514.85971600696,0.5750492170293597,8
35,1897-07-03,9,Fitzroy,9,21,75,St Kilda,2,6,18,Brunswick St,57,1897,Regular,9,1897.9,FALSE,NA,NA,NA,5,1,FALSE,FALSE,1,0,1496.6814960437493,1478.0088314481907,1498.3223612928646,1476.3679661990755,0.7561864414390357,29
36,1897-07-03,9,Geelong,1,9,15,Melbourne,0,10,10,Corio Oval,5,1897,Regular,9,1897.9,FALSE,NA,NA,NA,5,1,FALSE,FALSE,1,0,1508.256925863959,1507.854801308765,1510.9560400273015,1505.1556871454225,0.5989429177797301,11
37,1897-07-10,10,Carlton,2,1,13,Essendon,5,12,42,Princes Park,-29,1897,Regular,10,1897.10,FALSE,NA,NA,NA,4,1,FALSE,FALSE,1,0,1481.9752496292176,1514.85971600696,1480.1437273819097,1516.691238254268,0.27214297879760513,-24
38,1897-07-10,10,Geelong,7,10,52,Collingwood,1,4,10,Corio Oval,42,1897,Regular,10,1897.10,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1510.9560400273015,1506.3915701293586,1513.323606141358,1504.0240040153021,0.6482071152962042,16
39,1897-07-10,10,Melbourne,8,5,53,Fitzroy,3,8,26,M.C.G.,27,1897,Regular,10,1897.10,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1505.1556871454225,1498.3223612928646,1507.3859166474492,1496.0921317908378,0.6686137441267788,18
40,1897-07-10,10,St Kilda,0,3,3,Sydney,8,16,64,Junction Oval,-61,1897,Regular,10,1897.10,FALSE,NA,NA,NA,6,1,FALSE,TRUE,1,0,1476.3679661990755,1505.9714095697998,1474.2169677890338,1508.1224079798415,0.3196134338843372,-18
